day,month,farm,block,row#,tree#,treatment,pollenmix,uid,no.visits,final,year,seedcount,age,carpel 1,carpel 2,carpel 3,carpel 4,carpel 5,carpel 6,carpel 7,carpel 8,carpel 9,measurer,seeds
16,10,ausfarm,bri,20,16,hp,PL_mix,1610bri_HP_fs001,NA,1,2018,7.2,171,1.1,1.1,2,2,1,NA,NA,NA,NA,GB,7
2,10,aeroview,hb2,13,54,hp,mix,210hb2_HP_fs022,NA,1,2018,7.2,186,2,2,1.1,1,1.1,NA,NA,NA,NA,LK,7
4,10,ausfarm,acr,22,44,o,na,410acr_O_fs006,NA,1,2018,7.2,187,1.1,2,1.1,1,2,NA,NA,NA,NA,LK,7
7,10,savio,bir,11,80,hp,PL_mix,710bir_HP_fs108,NA,1,2018,7.2,181,1,1.1,2,2,1.1,NA,NA,NA,NA,GB,7
NA,10,ausfarm,bri,21,47,o,na,na10bri_O_fs005,NA,1,2018,7.2,170,2,1.2,1,1,2,NA,NA,NA,NA,GB,7
10,10,ausfarm,acr,NA,NA,hp,mix,Aus_16 Acres_ C-HP _ 2 _ 1,NA,1,2017,7.2,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
10,10,ausfarm,acr,NA,NA,hp,mix,Aus_16 Acres_ C-HP _ 2 _ 3,NA,1,2017,7.2,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
1,10,savio,for,2,64,hp,mix,110for_HP_fs122,NA,1,2018,8,187,2,1,2,1,2,NA,NA,NA,NA,LK,8
1,10,savio,for,2,64,hp,PL_mix,110for_HP_fs23,NA,1,2018,8,187,2,2,1,1,2,NA,NA,NA,NA,GB,8
1,10,savio,for,2,64,hp,PL_mix,110for_HP_fs24,NA,1,2018,8,187,1,2,2,2,1,NA,NA,NA,NA,GB,8
16,10,ausfarm,bri,20,73,hp,PL_mix,1610bri_HP_fs003,NA,1,2018,8,171,2,2,2,1,1,NA,NA,NA,NA,GB,8
16,10,ausfarm,bri,20,73,hp,mix,1610bri_HP_fs103,NA,1,2018,8,171,2,2,1,1,2,NA,NA,NA,NA,LK,8
16,10,ausfarm,bri,26,43,hp,mix,1610bri_HP_fs110,NA,1,2018,8,171,2,2,2,1,1,NA,NA,NA,NA,LK,8
2,10,aeroview,hb2,2,45,hp,mix,210hb2_HP_fs007,NA,1,2018,8,186,2,2,2,1,1,NA,NA,NA,NA,LK,8
2,10,aeroview,hb2,3,22,hp,PL_mix,210hb2_HP_fs101,NA,1,2018,8,186,1,1,3,1,2,NA,NA,NA,NA,GB,8
2,10,aeroview,hb2,5,47,hp,PL_mix,210hb2_HP_fs114,NA,1,2018,8,186,2,2,2,1,1,NA,NA,NA,NA,GB,8
26,9,fastfruit,pit,7,71,hp,mix,269pit_HP_fs10,NA,1,2018,8,192,1,2,2,2,1,NA,NA,NA,NA,LK,8
27,9,rizzatto,cos,5,76,hp,PL_mix,279cos_HP_fs101,NA,1,2018,8,193,2,2,2,1,1,NA,NA,NA,NA,GB,8
27,9,rizzatto,cos,37,70,hp,mix,279cos_HP_fs11,NA,1,2018,8,193,2,1,2,2,1,NA,NA,NA,NA,GB,8
27,9,rizzatto,cos,56,42,hp,mix,279cos_HP_fs16,NA,1,2018,8,193,2,1,2,2,1,NA,NA,NA,NA,GB,8
27,9,rizzatto,cos,5,76,hp,mix,279cos_HP_fs2,NA,1,2018,8,193,2,2,1,1,2,NA,NA,NA,NA,GB,8
29,9,ausfarm,v1,58,43,hp,mix,299v1_HP_fs108,NA,1,2018,8,188,1,2,2,1,2,NA,NA,NA,NA,GB,8
29,9,ausfarm,v1,62,35,hp,mix,299v1_HP_fs112,NA,1,2018,8,188,1,2,2,1,2,NA,NA,NA,NA,GB,8
29,9,ausfarm,v1,30,84,hp,PL_mix,299v1_HP_fs2,NA,1,2018,8,188,2,2,1,1,2,NA,NA,NA,NA,LK,8
30,9,ausfarm,acr,27,65,hp,PL_mix,309acr_HP_fs115,NA,1,2018,8,187,2,1,1,2,2,NA,NA,NA,NA,LK,8
30,9,ausfarm,acr,27,65,hp,mix,309acr_HP_fs13,NA,1,2018,8,187,2,2,2,1,1,NA,NA,NA,NA,GB,8
30,9,ausfarm,acr,34,22,o,na,309acr_O_fs17,NA,1,2018,8,187,2,2,1,2,1,NA,NA,NA,NA,LK,8
3,10,rizzatto,cos,48,38,o,na,310cos_O_fs16,NA,1,2018,8,187,1,2,1,2,2,NA,NA,NA,NA,LK,8
4,10,ausfarm,acr,22,44,o,na,410acr_O_fs007,NA,1,2018,8,187,1,1,2,2,2,NA,NA,NA,NA,LK,8
4,10,savio,for,12,29,o,na,410for_O_fs207,NA,1,2018,8,187,2,1,2,1,2,NA,NA,NA,NA,LK,8
4,10,savio,for,20,13,o,na,410for_O_fs211,NA,1,2018,8,184,2,2,1,2,1,NA,NA,NA,NA,LK,8
7,10,savio,bir,7,11,hp,PL_mix,710bir_HP_fs102,NA,1,2018,8,181,2,2,2,0,2,NA,NA,NA,NA,GB,8
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 1 _ 1,NA,1,2017,8,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 2 _ 4,NA,1,2017,8,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 2 _ 5,NA,1,2017,8,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 3 _ 1,NA,1,2017,8,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 3 _ 3,NA,1,2017,8,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 2 _ 2,NA,1,2017,8,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 2 _ 4,NA,1,2017,8,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 3 _ 3,NA,1,2017,8,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 3 _ 1,NA,1,2017,8,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 3 _ 2,NA,1,2017,8,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 3 _ 3,NA,1,2017,8,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
1,10,savio,for,20,13,v,na,110for_v_fs347,10,1,2018,8,246,1,2,2,1,2,NA,NA,NA,NA,LK,8
1,10,savio,for,31,15,hp,PL_mix,110for_HP_fs8,NA,1,2018,8.1,187,2,1,2,1.1,2,NA,NA,NA,NA,GB,8
2,10,aeroview,hb2,14,50,hp,PL_mix,210hb2_HP_fs124,NA,1,2018,8.1,186,1,2,2,1.1,2,NA,NA,NA,NA,GB,8
2,10,ausfarm,v1,62,6,o,na,210v1_O_fs19,NA,1,2018,8.1,185,2,2,1,1.1,2,NA,NA,NA,NA,LK,8
29,9,ausfarm,v1,34,129,hp,mix,299v1_HP_fs106,NA,1,2018,8.1,188,1.1,1,2,2,2,NA,NA,NA,NA,GB,8
30,9,ausfarm,acr,34,22,hp,mix,309acr_HP_fs18,NA,1,2018,8.1,187,0,2,2,1.1,1,2,NA,NA,NA,GB,8
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 2 _ 3,NA,1,2017,8.1,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
10,10,ausfarm,acr,NA,NA,hp,mix,Aus_16 Acres_ C-HP _ 1 _ 2,NA,1,2017,8.1,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 2 _ 2,NA,1,2017,8.1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 3 _ 2,NA,1,2017,8.1,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 1 _ 1,NA,1,2017,8.1,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 1 _ 2,NA,1,2017,8.1,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
2,10,aeroview,hb2,3,22,hp,mix,210hb2_HP_fs002,NA,1,2018,8.2,186,1.1,2,2,2,1.1,NA,NA,NA,NA,LK,8
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 3 _ 5,NA,1,2017,8.2,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,8
1,10,savio,for,13,30,hp,mix,110for_HP_fs111,NA,1,2018,9,187,2,2,2,2,1,NA,NA,NA,NA,LK,9
16,10,ausfarm,bri,20,16,hp,PL_mix,1610bri_HP_fs002,NA,1,2018,9,171,2,2,2,2,1,NA,NA,NA,NA,GB,9
2,10,aeroview,hb2,2,76,hp,PL_mix,210hb2_HP_fs111,NA,1,2018,9,186,2,2,2,1,2,NA,NA,NA,NA,GB,9
27,9,savio,bir,6,79,hp,mix,279bir_HP_fs42,NA,1,2018,9,191,2,2,2,1,2,NA,NA,NA,NA,LK,9
28,9,fastfruit,pit,5,70,hp,PL_mix,289pit_HP_fs101,NA,1,2018,9,190,1,2,2,2,2,NA,NA,NA,NA,LK,9
28,9,fastfruit,pit,5,70,hp,PL_mix,289pit_HP_fs102,NA,1,2018,9,190,2,2,2,2,1,NA,NA,NA,NA,LK,9
29,9,ausfarm,v1,30,84,hp,mix,299v1_HP_fs102,NA,1,2018,9,188,2,2,2,2,1,NA,NA,NA,NA,GB,9
29,9,ausfarm,v1,58,43,hp,mix,299v1_HP_fs107,NA,1,2018,9,188,2,1,2,2,2,NA,NA,NA,NA,GB,9
30,9,ausfarm,acr,21,49,hp,PL_mix,309acr_HP_fs104,NA,1,2018,9,187,1,2,1,2,3,NA,NA,NA,NA,LK,9
30,9,ausfarm,acr,27,65,hp,PL_mix,309acr_HP_fs114,NA,1,2018,9,187,2,2,2,1,2,NA,NA,NA,NA,LK,9
30,9,ausfarm,acr,27,65,hp,mix,309acr_HP_fs14,NA,1,2018,9,187,1,1,2,2,2,1,NA,NA,NA,GB,9
30,9,ausfarm,acr,21,49,hp,mix,309acr_HP_fs3,NA,1,2018,9,187,1,2,1,2,1,2,NA,NA,NA,GB,9
30,9,ausfarm,acr,22,44,hp,mix,309acr_HP_fs6,NA,1,2018,9,187,2,2,1,2,2,NA,NA,NA,NA,GB,9
30,9,ausfarm,acr,22,44,o,na,309acr_O_fs5,NA,1,2018,9,187,2,2,2,1,2,NA,NA,NA,NA,LK,9
7,10,savio,bir,6,36,hp,PL_mix,710bir_HP_fs103,NA,1,2018,9,181,2,2,2,1,2,NA,NA,NA,NA,GB,9
7,10,savio,bir,16,107,hp,PL_mix,710bir_HP_fs117,NA,1,2018,9,181,2,2,1,2,2,NA,NA,NA,NA,LK,9
NA,10,ausfarm,bri,20,16,o,na,na10bri_O_fs001,NA,1,2018,9,170,1,2,2,2,2,NA,NA,NA,NA,GB,9
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 2 _ 1,NA,1,2017,9,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,9
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 2 _ 2,NA,1,2017,9,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,9
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 3 _ 1,NA,1,2017,9,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,9
27,9,savio,bir,NA,NA,o,na,Sav_Bird_ O _ 1 _ 3,NA,1,2017,9,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,9
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 5 _ 1,NA,1,2017,9,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,9
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 2 _ 3,NA,1,2017,9,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,9
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 4 _ 1,NA,1,2017,9,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,9
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 4 _ 2,NA,1,2017,9,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,9
2,10,aeroview,hb2,5,41,hp,PL_mix,210hb2_HP_fs118,NA,1,2018,9.1,186,2,2,2,2,1.1,NA,NA,NA,NA,GB,9
2,10,aeroview,hb2,13,54,hp,PL_mix,210hb2_HP_fs120,NA,1,2018,9.1,186,2,2.1,2,1,2,NA,NA,NA,NA,GB,9
26,9,fastfruit,pit,6,95,hp,mix,269pit_HP_fs8,NA,1,2018,9.1,192,2,2,2,2,1.1,NA,NA,NA,NA,LK,9
29,9,ausfarm,v1,59,37,hp,mix,299v1_HP_fs110,NA,1,2018,9.1,188,1.1,2,2,2,2,NA,NA,NA,NA,GB,9
30,9,ausfarm,acr,22,24,hp,PL_mix,309acr_HP_fs110,NA,1,2018,9.1,187,1.1,2,2,2,1,1,NA,NA,NA,LK,9
30,9,ausfarm,acr,21,49,o,na,309acr_O_fs2a,NA,1,2018,9.1,183,2.1,2,2,1,2,NA,NA,NA,NA,LK,9
7,10,savio,bir,14,112,hp,PL_mix,710bir_HP_fs114,NA,1,2018,9.1,181,2,1.1,2,2,2,NA,NA,NA,NA,LK,9
30,9,ausfarm,acr,40,21,hp,mix,309acr_HP_fs20,NA,1,2018,9.2,187,2,2,1,2,1,1.2,NA,NA,NA,GB,9
26,9,fastfruit,pit,5,70,hp,mix,269pit_HP_fs1,NA,1,2018,10,192,2,2,2,2,2,NA,NA,NA,NA,LK,10
28,9,fastfruit,pit,8,82,hp,PL_mix,289pit_HP_fs117,NA,1,2018,10,190,2,2,2,2,2,NA,NA,NA,NA,LK,10
7,10,savio,bir,16,80,hp,PL_mix,710bir_HP_fs118,NA,1,2018,10,181,2,2,2,2,2,NA,NA,NA,NA,LK,10
27,9,savio,bir,NA,NA,o,na,Sav_Bird_ O _ 2 _ 1,NA,1,2017,10,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,10
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 2 _ 3,NA,1,2017,10,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,10
2,10,aeroview,hb2,5,41,hp,PL_mix,210hb2_HP_fs117,NA,1,2018,10.1,186,2,2,1.1,2,2,1,NA,NA,NA,GB,10
30,9,ausfarm,acr,22,44,hp,mix,309acr_HP_fs8,NA,1,2018,10.1,187,2,1,2,2,2,1.1,NA,NA,NA,GB,10
30,9,ausfarm,acr,27,65,o,na,309acr_O_fs11,NA,1,2018,10.1,183,2,2,1.1,2,1,2,NA,NA,NA,LK,10
30,9,ausfarm,acr,21,49,hp,mix,309acr_HP_fs4,NA,1,2018,11.1,187,1,1,1.1,2,2,2,2,NA,NA,GB,11
30,9,ausfarm,acr,21,49,hp,PL_mix,309acr_HP_fs105,NA,1,2018,12.2,187,1,2,0.1,1,1.1,1,2,2,2,LK,12
1,10,savio,for,31,15,hp,PL_mix,110for_HP_fs10,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,20,13,hp,mix,110for_HP_fs102,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,20,13,hp,mix,110for_HP_fs103,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,21,42,hp,mix,110for_HP_fs105,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,21,42,hp,mix,110for_HP_fs106,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,hp,mix,110for_HP_fs107,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,hp,mix,110for_HP_fs108,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,hp,mix,110for_HP_fs109,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,hp,PL_mix,110for_HP_fs11,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,13,30,hp,mix,110for_HP_fs112,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,13,30,hp,mix,110for_HP_fs113,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,12,29,hp,mix,110for_HP_fs116,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,12,29,hp,mix,110for_HP_fs117,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,4,61,hp,mix,110for_HP_fs118,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,4,61,hp,mix,110for_HP_fs119,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,hp,PL_mix,110for_HP_fs12,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,4,61,hp,mix,110for_HP_fs120,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,4,61,hp,mix,110for_HP_fs121,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,2,64,hp,mix,110for_HP_fs124,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,2,64,hp,mix,110for_HP_fs125,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,hp,PL_mix,110for_HP_fs13,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,hp,PL_mix,110for_HP_fs14,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,hp,PL_mix,110for_HP_fs15,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,32,42,hp,PL_mix,110for_HP_fs17,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,32,42,hp,PL_mix,110for_HP_fs18,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,32,42,hp,PL_mix,110for_HP_fs19,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,20,13,hp,PL_mix,110for_HP_fs2,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,32,42,hp,PL_mix,110for_HP_fs20,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,4,61,hp,PL_mix,110for_HP_fs21,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,4,61,hp,PL_mix,110for_HP_fs22,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,2,64,hp,PL_mix,110for_HP_fs25,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,2,64,hp,PL_mix,110for_HP_fs26,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,20,13,hp,PL_mix,110for_HP_fs3,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,20,13,hp,PL_mix,110for_HP_fs4,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,20,13,hp,PL_mix,110for_HP_fs5,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,20,13,hp,PL_mix,110for_HP_fs6,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,hp,PL_mix,110for_HP_fs9,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,32,42,o,na,110for_O_fs1,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,13,30,o,na,110for_O_fs10,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,12,58,o,na,110for_O_fs12,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,12,29,o,na,110for_O_fs13,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,12,29,o,na,110for_O_fs14,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,4,61,o,na,110for_O_fs15,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,4,61,o,na,110for_O_fs16,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,2,64,o,na,110for_O_fs17,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,2,64,o,na,110for_O_fs18,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,1,54,o,na,110for_O_fs19,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,32,42,o,na,110for_O_fs2,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,1,54,o,na,110for_O_fs20,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,o,na,110for_O_fs3,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,31,15,o,na,110for_O_fs4,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,21,42,o,na,110for_O_fs5,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,21,42,o,na,110for_O_fs6,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,20,13,o,na,110for_O_fs8,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,10,savio,for,13,30,o,na,110for_O_fs9,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,2,45,o,na,1510hb2_O_fs001,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,2,45,o,na,1510hb2_O_fs002,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,3,30,o,na,1510hb2_O_fs003,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,3,30,o,na,1510hb2_O_fs004,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,3,22,o,na,1510hb2_O_fs005,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,3,22,o,na,1510hb2_O_fs006,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,5,17,o,na,1510hb2_O_fs008,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,5,41,o,na,1510hb2_O_fs009,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,5,47,o,na,1510hb2_O_fs012,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,13,54,o,na,1510hb2_O_fs014,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,13,76,o,na,1510hb2_O_fs015,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,13,76,o,na,1510hb2_O_fs016,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,14,50,o,na,1510hb2_O_fs018,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,10,aeroview,hb2,2,76,o,na,1510hb2_O_fs019,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,10,ausfarm,bri,20,73,hp,PL_mix,1610bri_HP_fs004,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,10,ausfarm,bri,21,47,hp,PL_mix,1610bri_HP_fs006,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,10,ausfarm,bri,24,78,hp,PL_mix,1610bri_HP_fs007,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,10,ausfarm,bri,24,78,hp,PL_mix,1610bri_HP_fs008,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,10,ausfarm,bri,26,43,hp,PL_mix,1610bri_HP_fs010,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,10,ausfarm,bri,20,16,hp,mix,1610bri_HP_fs102,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,10,ausfarm,bri,20,73,hp,mix,1610bri_HP_fs104,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,10,ausfarm,bri,21,47,hp,mix,1610bri_HP_fs105,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
